,Algorithm,rND,rKL,rRD,APCR,nd_APCR,equal_ex,ndcg
Drama,ALS,0.17450469472036587,0.040166650313562036,0.12070815131842969,1.0,0.5858544069263195,0.9958942685269706,0.31256056646053265
Drama,FunkSVD,0.12491714359555765,0.022344072435022608,0.12357884197458838,1.0,0.5258346648929325,0.9896532978830529,0.2713531225615427
Drama,ItemItem,0.1832672486501879,0.043999438331123186,0.18911780813458143,1.0,0.6049417776911182,0.9879283780361731,0.2887004549459697
Drama,UserUser,0.20237298217224614,0.051559346277751036,0.2606429160396562,1.0,0.5744072928867212,0.98198394906622,0.2665555233998931
